timestamp,action,position,velocity
1727831090.7518983,0.0,-0.5578828,0.00025860636
1727831090.7865098,0.0,-0.5573675,0.0005152833
1727831090.8191118,0.0,-0.5565994,0.0007681158
1727831090.8532224,0.0,-0.55558413,0.0010152162
1727831090.8863237,0.0,-0.5543294,0.0012547384
1727831090.919874,0.0,-0.5528445,0.0014848917
1727831090.9539788,0.0,-0.55114055,0.0017039536
1727831090.987964,0.0,-0.5492303,0.001910282
1727831091.021474,0.0,-0.54712796,0.002102329
1727831091.0551336,0.0,-0.54484934,0.0022786513
1727831091.0882611,0.0,-0.5424114,0.0024379226
1727831091.121794,0.0,-0.5398325,0.0025789423
1727831091.1570013,0.0,-0.53713185,0.0027006469
1727831091.1889205,0.0,-0.5343297,0.002802117
1727831091.2228105,0.0,-0.5314471,0.0028825852
1727831091.2559464,0.0,-0.5285057,0.0029414422
1727831091.2898853,0.0,-0.5255274,0.0029782427
1727831091.3238792,0.0,-0.5225347,0.0029927075
1727831091.358377,0.0,-0.51955,0.0029847273
1727831091.3918777,0.0,-0.51659566,0.0029543624
1727831091.426019,0.0,-0.5136938,0.002901843
1727831091.4600494,0.0,-0.5108662,0.0028275668
1727831091.4927814,0.0,-0.5081341,0.002732096
1727831091.5274277,0.0,-0.50551796,0.0026161526
1727831091.5612173,0.0,-0.50303733,0.002480613
1727831091.5939524,0.0,-0.50071084,0.0023265001
1727831091.6276708,0.0,-0.49855587,0.0021549754
1727831091.661088,0.0,-0.49658853,0.0019673302
1727831091.6942818,0.0,-0.49482355,0.001764975
1727831091.7280297,0.0,-0.49327412,0.0015494288
1727831091.7617834,0.261932373046875,-0.4915589,0.0017152061
1727831091.795984,0.4761962890625,-0.48936933,0.0021895713
1727831091.8291287,0.619049072265625,-0.48650745,0.002861875
1727831091.8623183,0.714263916015625,-0.48285177,0.0036556597
1727831091.896138,0.76190185546875,-0.4783581,0.0044936705
1727831091.9299426,0.78570556640625,-0.47302413,0.0053339642
1727831091.9640245,0.81744384765625,-0.46684185,0.006182274
1727831091.9968657,0.86505126953125,-0.4597856,0.007056228
1727831092.0308082,0.920623779296875,-0.45182413,0.007961483
1727831092.0650935,0.968231201171875,-0.44294447,0.00887967
1727831092.0983882,0.992034912109375,-0.43317577,0.0097687
1727831092.1325297,0.999969482421875,-0.422577,0.0105987685
1727831092.1661403,0.999969482421875,-0.4112244,0.011352604
1727831092.1998978,0.999969482421875,-0.39919877,0.0120256245
1727831092.23352,0.999969482421875,-0.3865847,0.012614086
1727831092.2666032,0.999969482421875,-0.37346956,0.0131151285
1727831092.3007085,0.999969482421875,-0.35994276,0.013526796
1727831092.3350284,0.999969482421875,-0.34609473,0.013848051
1727831092.3682292,0.999969482421875,-0.33201596,0.014078758
1727831092.401349,0.999969482421875,-0.31779632,0.014219653
1727831092.4348419,0.999969482421875,-0.30352402,0.0142723
1727831092.4672172,0.999969482421875,-0.289285,0.014239019
1727831092.5013387,0.999969482421875,-0.2751622,0.014122812
1727831092.535154,0.999969482421875,-0.2612349,0.013927268
1727831092.568097,0.999969482421875,-0.24757844,0.013656464
1727831092.6009908,0.999969482421875,-0.23426358,0.0133148655
1727831092.6344337,0.999969482421875,-0.22135636,0.012907216
1727831092.6671767,0.84918212890625,-0.2091441,0.0122122625
1727831092.7000737,0.682525634765625,-0.1979319,0.011212207
1727831092.7342193,0.5714111328125,-0.18793464,0.009997266
1727831092.7680917,0.4444580078125,-0.17938375,0.008550882
1727831092.8010063,0.325408935546875,-0.1724914,0.0068923514
1727831092.835275,0.22222900390625,-0.16743839,0.0050530164
1727831092.8685699,0.15081787109375,-0.16435032,0.0030880675
1727831092.9018884,0.055572509765625,-0.16338111,0.00096919405
1727831092.9355745,0.0,-0.16461758,-0.0012364694
1727831092.968391,0.0,-0.16805534,-0.0034377521
1727831093.0018303,0.0,-0.17368203,-0.005626696
1727831093.0352335,0.0,-0.18147698,-0.0077949436
1727831093.0687776,0.0,-0.19141048,-0.009933499
1727831093.1026337,0.0,-0.203443,-0.012032524
1727831093.1370828,0.0,-0.21752417,-0.014081173
1727831093.1705368,0.0,-0.23359166,-0.016067483
1727831093.2038226,0.0,-0.25157,-0.017978339
1727831093.2374213,0.0,-0.2713695,-0.019799514
1727831093.270021,0.0,-0.2928853,-0.021515805
1727831093.304158,0.0,-0.3159966,-0.02311127
1727831093.3368351,-0.046875,-0.34063646,-0.024639877
1727831093.3709826,-0.140625,-0.36679164,-0.026155159
1727831093.404572,-0.25,-0.39445496,-0.027663315
1727831093.4391606,-0.390625,-0.42364874,-0.029193781
1727831093.4730008,-0.5,-0.45433098,-0.030682223
1727831093.5072823,-0.609375,-0.48644304,-0.032112062
1727831093.5404031,-0.65625,-0.5198176,-0.03337453
1727831093.5730479,-0.6796875,-0.55424,-0.03442242
1727831093.6062098,-0.6875,-0.5894642,-0.035224184
1727831093.6399815,-0.5859375,-0.6250765,-0.035612307
1727831093.6732535,-0.3984375,-0.66053706,-0.035460584
1727831093.7074008,-0.2734375,-0.6954094,-0.03487235
1727831093.7411609,-0.1171875,-0.7292253,-0.033815853
1727831093.7740119,-0.015625,-0.7616183,-0.03239306
1727831093.807234,0.0,-0.79237413,-0.030755796
1727831093.8410294,0.0,-0.82132554,-0.028951423
1727831093.8747418,0.0,-0.8483293,-0.02700375
1727831093.9090626,0.0,-0.8732649,-0.024935631
1727831093.9425147,0.0,-0.8960332,-0.02276832
1727831093.977222,0.0,-0.9165542,-0.020521015
1727831094.0110145,0.0,-0.9347648,-0.01821058
1727831094.045114,0.0,-0.95061624,-0.01585145
1727831094.0784535,0.0,-0.96407187,-0.013455656
1727831094.1110158,0.0,-0.97510487,-0.01103299
1727831094.1442761,0.0,-0.9836961,-0.008591233
1727831094.1775498,0.0,-0.9898326,-0.0061364607
1727831094.2097676,0.0,-0.99350595,-0.0036733903
1727831094.2433777,0.0,-0.9947117,-0.0012057516
1727831094.2769206,0.0,-0.9934484,0.0012633213
1727831094.3102496,0.0,-0.9897175,0.0037308906
1727831094.344636,0.0,-0.98352367,0.006193813
1727831094.3789032,0.0,-0.97487533,0.00864834
1727831094.4128096,0.0,-0.9637856,0.011089727
1727831094.4459887,0.0,-0.95027375,0.013511863
1727831094.4803758,0.0,-0.9343668,0.01590692
1727831094.5135994,0.0,-0.91610175,0.018265061
1727831094.5479064,0.0,-0.89552754,0.020574197
1727831094.5812416,0.0,-0.8727077,0.02281984
1727831094.6142845,0.0,-0.84772265,0.024985064
1727831094.6478684,0.0,-0.82067204,0.027050624
1727831094.681494,0.0,-0.7916768,0.028995221
